iso3,year,partner,measure,value,unit,source,retrieved
BEL,2025,Africa,export share,8.6733,% of extra-EU27 exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = total exports minus exports to the 27 EU member states",2026-08-06
BEL,2025,North America,export share,23.0963,% of extra-EU27 exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = total exports minus exports to the 27 EU member states",2026-08-06
BEL,2025,Latin America & Caribbean,export share,6.3864,% of extra-EU27 exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = total exports minus exports to the 27 EU member states",2026-08-06
BEL,2025,Oceania & polar regions,export share,1.6546,% of extra-EU27 exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = total exports minus exports to the 27 EU member states",2026-08-06
BEL,2025,Other / unallocated,export share,2.3606,% of extra-EU27 exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = total exports minus exports to the 27 EU member states",2026-08-06
BGR,2024,World,total exports,44249030445,EUR,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BG, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2024; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = n/a (level, partner=WORLD)",2026-08-06
BGR,2024,European Union (EU27),export share,59.2488,% of total exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BG, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2024; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = partner=WORLD total exports",2026-08-06
BGR,2024,Rest of Europe (non-EU27),export share,18.2345,% of total exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BG, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2024; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = partner=WORLD total exports",2026-08-06
BGR,2024,Asia (excl. Middle East),export share,5.9351,% of total exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BG, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2024; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = partner=WORLD total exports",2026-08-06
BGR,2024,Middle East,export share,2.3254,% of total exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BG, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2024; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = partner=WORLD total exports",2026-08-06
BGR,2024,Africa,export share,4.0486,% of total exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BG, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2024; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = partner=WORLD total exports",2026-08-06
